J,K,y_0,n_0,y_1,n_1,est,se,median,q2.75,q97.5
1,1,26,225,69,230,1.1879104263158065,0.06419059783709118,1.18682,1.06232725,1.3161715
2,1,8,102,14,100,0.6485632739519189,0.218694776277656,0.7384054999999999,0.334979275,1.1261215
3,1,12,171,36,177,1.2187566005101729,0.124492617868772,1.2165650000000001,0.9937320849999999,1.4495870000000002
4,1,3,122,21,124,2.0903046539372068,0.3990644801609965,1.751595,1.118921575,2.402319500000001
5,2,43,146,89,164,1.0446771287319028,0.05753384020707915,1.04092,0.9282971125,1.1510805000000002
6,2,14,34,25,35,1.2729656758128876,0.26142857142857145,1.1561249999999998,0.717229,1.6011480000000002
7,2,52,265,77,233,0.7039978617321445,0.0433228743087898,0.704653,0.62207334,0.7913669999999999
8,2,12,30,17,33,0.4660897299245993,0.26021241830065356,0.5224885,0.06474236825,0.9847014250000001
9,2,23,111,39,111,0.7287381256626478,0.09437181176311613,0.728954,0.55308088,0.9120009
10,2,29,103,45,103,0.6829887424415961,0.08745987366677022,0.6877525,0.5205270625,0.85984225
11,2,33,94,59,97,1.0543175868861645,0.08996141494203821,1.04427,0.8726585799999999,1.2185745000000001
12,2,14,46,19,50,0.3371303478657621,0.18756821489206887,0.3901945,0.042477641249999996,0.745837675
13,2,85,202,106,200,0.4396669901495029,0.04038397456585285,0.4412505,0.3620473575,0.5179227000000001
14,3,13,99,51,107,1.7958718807811476,0.12601596989421887,1.7604650000000002,1.5272373500000003,2.0007277500000002
15,3,14,91,40,91,1.4618019136280358,0.12902342755283933,1.4456100000000003,1.199896425,1.6864485
16,3,84,247,99,252,0.2276153307056031,0.03467668904334368,0.2316945,0.16412535,0.30072802500000007
17,3,9,21,9,12,1.3862943611198908,0.638888888888889,1.2348000000000001,0.4140569675,2.1035917500000005
18,4,12,114,75,226,1.4402744402176568,0.11309310479158548,1.413055,1.202108625,1.6254450000000003
19,4,15,107,43,110,1.3702458722494266,0.11571741897187472,1.341335,1.123878625,1.5648565000000003
20,4,44,146,54,154,0.22459703994219293,0.0610497128144187,0.233938,0.11857237749999999,0.35382267500000003
21,4,18,65,22,66,0.26662866325394863,0.14501396948205458,0.3087665,0.03028355025,0.5886663
