variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-22.1931182725,-21.8859,4.741594524387218,4.727344229999999,-30.369805000000003,-14.939975000000002,1.0068714696345298,727.9264844369102,1517.3845292852552
mu,0.912284651,0.912692,0.11981849417380111,0.1211343504,0.71404695,1.1057819999999998,1.009580686151991,616.6693425274777,930.166303800996
tau,0.51824832525,0.5036244999999999,0.1021823055176344,0.0921613811999999,0.37962815,0.7018040499999998,1.0050973616964853,742.0891496768816,1242.1245151910234
theta[1],1.1836721715,1.1821700000000002,0.06342963109531542,0.06564952799999997,1.080994,1.2876915,1.000344673556521,5336.1515908632055,3128.126498220885
theta[2],0.693331106485,0.6949859999999999,0.20228821912314188,0.19916877749999998,0.3622943,1.020721,1.000040724585191,4071.302089198637,2748.542320470952
theta[3],1.2008142205,1.2017600000000002,0.12115921269019234,0.12214400100000006,1.0025235,1.3998789999999999,1.0008454804221802,7268.084459934028,2552.3780303818257
theta[4],1.6371684905000001,1.625985,0.3391707882637328,0.33812175600000005,1.1002115000000001,2.2272235,1.0006427737203696,3265.5391882212134,3008.791407383777
theta[5],1.0433787745,1.043525,0.058877990821281735,0.05782881299999993,0.94439285,1.138763,1.0001168412718155,5884.283471163805,2916.0739526001153
theta[6],1.19106832725,1.191995,0.22786691055289376,0.2228125410000003,0.8114859499999999,1.573176,1.0017987896649194,4308.195077432927,2922.79552459796
theta[7],0.70513792925,0.705468,0.043526397050586356,0.04314440130000004,0.6342089,0.7763981,1.0000859306155412,4425.910081189143,2963.0739767039654
theta[8],0.5603517786905,0.55898,0.22572455605962677,0.22389706290000003,0.1795567,0.9361458500000001,1.0007796393472728,4383.131231646349,2844.310587630446
theta[9],0.73637500825,0.7357505,0.09574172982888564,0.09553207229999996,0.57915525,0.891083,1.0017039625584392,7509.502749929329,2746.1201450808603
theta[10],0.6898590625,0.690054,0.08688269084265071,0.08575580789999998,0.5474638000000001,0.8324866999999999,1.0021174058758453,7289.887862915916,3035.716938333074
theta[11],1.04985907375,1.049735,0.08412029328267533,0.08214345299999988,0.9119881999999999,1.187272,1.0018544936560183,7031.429352070068,3024.950045885362
theta[12],0.4096551208905,0.41135,0.18307889149150805,0.18509297309999997,0.10490884999999998,0.7095212,1.0030552116036575,5559.167157499563,2783.517811810775
theta[13],0.44329845674999996,0.44350049999999996,0.04064213520508162,0.04044829319999996,0.37764445,0.51052125,1.0001077675370327,3984.5794286494056,3416.0821509823418
theta[14],1.7435844500000002,1.742,0.12385692382924185,0.1227296280000001,1.542934,1.9445215000000005,1.0006267134683633,5426.57588614943,2897.1488084173966
theta[15],1.42772844225,1.42585,0.12929179932164134,0.12592463100000012,1.216277,1.6434465,1.0000911696679953,6887.025001728219,3074.2115346453975
theta[16],0.23080940349999998,0.23053949999999998,0.034924568475916754,0.03451122150000005,0.17288474999999998,0.28807415,1.0007691686992874,4183.445113582373,3125.9919629324604
theta[17],1.09853044483595,1.08932,0.3973887654842731,0.3930535686000001,0.47222309999999995,1.7605204999999997,1.0000958205669954,3168.3491693402634,2763.0361143253795
theta[18],1.4139521875,1.412595,0.11128944580024856,0.11245520999999996,1.2321765,1.5947769999999999,1.0005066927161361,6220.173620948638,2327.3499944474274
theta[19],1.34968610075,1.34896,0.11171969866301963,0.11215127699999977,1.1626589999999999,1.533017,1.000317885557623,6717.863460721494,2910.8581401414044
theta[20],0.233307170175,0.23362899999999998,0.06036758692856613,0.06123953429999997,0.13183845,0.32897059999999995,1.0029707002640376,4628.875335033869,3152.552765264029
theta[21],0.315718957485,0.31875449999999994,0.13926777920744468,0.14214649890000008,0.08249226000000001,0.5407165999999999,1.0017337145084322,6632.281363457163,2556.120201696718
theta_new,0.8995311635395,0.9079115,0.5450313770631283,0.5185000611000001,-0.008042581999999987,1.7778929999999988,1.0018042316671654,3417.726372749382,3213.6109033018543
